date,meeting,activity,topic,reading,notes,is_exam,is_noclass,milestone,deliverable,materials_url
1/12/2026,lecture,Welcome,Welcome Syllabus,,,FALSE,FALSE,,,
1/12/2026,lecture,Lecture 1,Statistics and samples,ABD Ch 1,,FALSE,FALSE,,,
1/13/2026,lab,Lab 1,Introduction to R and RStudio,,,FALSE,FALSE,,,
1/14/2026,lecture,Lecture 2,Displaying data,2,,FALSE,FALSE,,,
1/15/2026,lab,EDA Project,Introduction to the Exploratory Data Analysis (EDA) Project Social introductions Form teams Choose topics,,,FALSE,FALSE,,,
1/16/2026,lecture,Lecture 4,,,,,,,,
1/19/2026,lecture,No Class,"Martin Luther King, Jr. Holiday (no classes)",,,FALSE,TRUE,,,
1/20/2026,lab,Lab 2,Workflow basics,,,FALSE,FALSE,,,
1/21/2026,lecture,Lecture 3,Describing data,3,,FALSE,FALSE,,,
1/22/2026,lab,EDA Project,Choose question Find datasets,,,FALSE,FALSE,,,
1/26/2026,lecture,Lecture 4,Estimating with uncertainty,4,,FALSE,FALSE,,,
1/27/2026,lab,Lab 3,Data visualization part 1,,,FALSE,FALSE,,,
1/29/2026,lab,Lab 3,continued Data visualization part 2,,,FALSE,FALSE,,,
1/30/2026,lecture,Lecture 5,Probability,5,,FALSE,FALSE,,,
2/3/2026,lab,Lab 4,Data import,,,FALSE,FALSE,,,
2/4/2026,lecture,Lecture 6,Hypothesis testing,6,,FALSE,FALSE,,,
2/5/2026,lab,EDA Project,Data import,,,FALSE,FALSE,,,
2/6/2026,lecture,Exam 1,Lectures 1-5 (Chapter 1-5),,,TRUE,FALSE,,,
2/10/2026,lab,Lab 5,Data subsetting 1,,,FALSE,FALSE,,,
2/11/2026,lecture,Lecture 7,Analyzing proportions,7,,FALSE,FALSE,,,
2/12/2026,lab,EDA Project,Data exploration,,,FALSE,FALSE,,,
2/13/2026,lecture,Lecture 8,Fitting probability models to frequency data,8.1-8.3,,FALSE,FALSE,,,
2/16/2026,lecture,,No Class (Non-Instructional Day),,,FALSE,TRUE,,,
2/17/2026,lab,EDA Project,Abstract writing assignment,,,FALSE,FALSE,,,
2/18/2026,lecture,Lecture 9,Poisson distribution,8.4,,FALSE,FALSE,,,
2/19/2026,lab,EDA Project,Abstract peer review assignment,,,FALSE,FALSE,,,
2/20/2026,lecture,Lecture 10,Contingency analysis 1: Odds and risk,9.1-9.3,,FALSE,FALSE,,,
2/23/2026,lecture,Lecture 11,Contingency analysis 2: Contingency Analysis,9.4-9.5,,FALSE,FALSE,,,
2/24/2026,lab,EDA Project,Abstract writing assignment,,,FALSE,FALSE,,,
2/25/2026,lecture,,No class (instructor at conference),,,FALSE,TRUE,,,
2/26/2026,lab,EDA Project,Abstract peer review assignment,,,FALSE,FALSE,,,
2/27/2026,lecture,Review Hypothesis Testing and contingency analysis,Review Hypothesis Testing and contingency analysis,,,FALSE,FALSE,,,
3/2/2026,lecture,Exam 2,Lectures 6-11 (Chapter 6-9),,,TRUE,FALSE,,,
3/3/2026,lab,Lab 6,Data summarizing,,,FALSE,FALSE,,,
3/4/2026,lecture,Lecture 12,Normal distribution,10,,FALSE,FALSE,,,
3/5/2026,lab,Lab 6,cont.,,,FALSE,FALSE,,,
3/6/2026,lecture,Lecture 13,One-sample t-test,11,,FALSE,FALSE,,,
3/9/2026,lecture,,March 9-13 Spring Break (no classes),,,FALSE,TRUE,,,
3/10/2026,lab,,March 9-13 Spring Break (no classes),,,FALSE,TRUE,,,
3/11/2026,lecture,,March 9-13 Spring Break (no classes),,,FALSE,TRUE,,,
3/12/2026,lab,,March 9-13 Spring Break (no classes),,,FALSE,TRUE,,,
3/13/2026,lecture,,March 9-13 Spring Break (no classes),,,FALSE,TRUE,,,
3/16/2026,lecture,Lecture 13,One-sample t-test,11,,FALSE,FALSE,,,
